GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
0500000US37001,37001,"Alamance County, North Carolina",142661,*****,99506,1130,25825,1056,488,257,1399,434,199,278,13270,1165,1974,1203,0,281,1974,1203
0500000US37019,37019,"Brunswick County, North Carolina",94945,*****,79023,573,8099,1860,1661,917,39,49,25,44,1934,645,4164,1722,681,552,3483,1446
0500000US37021,37021,"Buncombe County, North Carolina",222174,*****,198070,1511,16235,920,639,398,1922,389,141,177,2339,1370,2828,1006,125,157,2703,989
0500000US37023,37023,"Burke County, North Carolina",90054,*****,76469,882,5849,728,141,168,2900,126,0,281,3448,966,1247,779,0,281,1247,779
0500000US37025,37025,"Cabarrus County, North Carolina",156395,*****,126065,1699,22692,841,327,355,2396,170,0,281,3606,1606,1309,899,23,37,1286,899
0500000US37027,37027,"Caldwell County, North Carolina",79841,*****,71337,399,3344,807,34,62,1214,693,0,281,2958,468,954,556,110,186,844,537
0500000US37035,37035,"Catawba County, North Carolina",153784,*****,126401,1581,11915,1066,1085,592,4534,250,0,281,7755,1608,2094,1130,55,92,2039,1126
0500000US37045,37045,"Cleveland County, North Carolina",98373,*****,75688,692,20250,603,0,281,966,179,0,281,640,568,829,604,0,281,829,604
0500000US37049,37049,"Craven County, North Carolina",94875,*****,66688,407,19562,2021,59,97,1270,228,103,126,4766,1821,2427,1208,910,668,1517,917
0500000US37051,37051,"Cumberland County, North Carolina",299060,*****,160422,1480,108694,2111,3980,634,6456,664,855,25,7337,1473,11316,2159,1400,657,9916,2131
0500000US37057,37057,"Davidson County, North Carolina",156236,*****,136159,1433,13403,1375,447,303,1484,347,0,281,2072,1385,2671,1498,382,353,2289,1472
0500000US37063,37063,"Durham County, North Carolina",246896,*****,117306,1928,91413,1516,519,450,10466,430,241,280,22363,2155,4588,1403,689,586,3899,1326
0500000US37067,37067,"Forsyth County, North Carolina",332355,*****,217869,3254,83477,944,1135,287,4631,369,0,281,21865,3301,3378,1231,834,569,2544,1060
0500000US37071,37071,"Gaston County, North Carolina",199397,*****,157642,1172,27268,1112,511,298,2163,197,227,291,8332,1334,3254,1243,334,377,2920,1184
0500000US37081,37081,"Guilford County, North Carolina",451905,*****,278247,2297,136853,1640,1928,519,15361,343,408,639,13494,2577,5614,1208,738,518,4876,1089
0500000US37085,37085,"Harnett County, North Carolina",106283,*****,73993,1051,24298,651,586,283,101,89,11,19,5396,1047,1898,647,183,166,1715,653
0500000US37089,37089,"Henderson County, North Carolina",99033,*****,88157,1446,3310,403,160,283,878,281,21,34,5876,1297,631,478,244,348,387,299
0500000US37097,37097,"Iredell County, North Carolina",146206,*****,119449,1201,17737,1385,170,169,1345,1128,437,643,4165,1268,2903,1587,245,386,2658,1529
0500000US37101,37101,"Johnston County, North Carolina",152143,*****,122325,1831,23934,687,135,159,722,131,0,281,3046,1834,1981,1027,458,659,1523,806
0500000US37119,37119,"Mecklenburg County, North Carolina",827445,*****,497185,5131,248706,2443,4182,808,32578,980,54,90,32697,5038,12043,2667,1145,679,10898,2512
0500000US37125,37125,"Moore County, North Carolina",83162,*****,67310,857,12991,878,672,248,487,440,0,281,1245,822,457,405,137,230,320,340
0500000US37127,37127,"Nash County, North Carolina",92312,*****,53176,603,33829,158,275,148,803,46,0,281,3696,593,533,329,210,280,323,189
0500000US37129,37129,"New Hanover County, North Carolina",182591,*****,143977,723,29332,696,944,300,1978,367,79,142,4314,857,1967,748,240,210,1727,712
0500000US37133,37133,"Onslow County, North Carolina",150673,*****,109349,748,25061,1383,694,488,3455,528,510,469,5904,1060,5700,1522,963,438,4737,1509
0500000US37135,37135,"Orange County, North Carolina",120100,*****,90265,883,15019,993,344,176,7373,294,38,63,4401,995,2660,1243,530,459,2130,1143
0500000US37147,37147,"Pitt County, North Carolina",145619,*****,88501,1138,49072,1139,114,193,1689,267,0,281,3480,883,2763,1340,191,257,2572,1352
0500000US37151,37151,"Randolph County, North Carolina",140410,*****,120723,1812,8553,1606,297,322,1273,113,0,281,7812,2238,1752,1260,387,631,1365,994
0500000US37155,37155,"Robeson County, North Carolina",129021,*****,43316,1654,31897,461,47181,965,629,218,455,596,3704,1738,1839,806,547,485,1292,701
0500000US37157,37157,"Rockingham County, North Carolina",93063,*****,70381,752,17832,767,38,55,613,570,0,281,3335,781,864,621,38,77,826,595
0500000US37159,37159,"Rowan County, North Carolina",136254,*****,105902,1945,20411,1079,209,247,1199,578,331,443,6494,2197,1708,1030,115,187,1593,1002
0500000US37171,37171,"Surry County, North Carolina",72687,*****,66753,1092,1909,651,36,93,1405,995,0,281,2186,1080,398,423,0,281,398,423
0500000US37179,37179,"Union County, North Carolina",175272,*****,143473,2306,20558,591,475,321,1706,522,0,281,6466,2343,2594,1009,763,576,1831,830
0500000US37183,37183,"Wake County, North Carolina",786522,*****,538590,5383,157427,2231,2398,653,35134,1172,348,295,40024,5579,12601,2305,1928,959,10673,2013
0500000US37191,37191,"Wayne County, North Carolina",113847,*****,69200,1479,37300,738,374,161,1119,157,0,281,4622,1533,1232,719,99,160,1133,703
0500000US37195,37195,"Wilson County, North Carolina",76624,*****,40398,1097,29876,686,182,296,55,89,0,281,4989,1152,1124,570,341,302,783,497
