GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,,,,,,,,,,,,,,,,,,
0500000US37001,37001,"Alamance County, North Carolina",144778,*****,101337,1056,26258,577,463,164,1590,274,94,94,12967,1052,2069,661,79,102,1990,655,,,,,,,,,,,,,,,,,,
0500000US37003,37003,"Alexander County, North Carolina",36255,*****,33713,623,1175,470,133,171,169,157,0,165,899,286,166,137,58,70,108,106,,,,,,,,,,,,,,,,,,
0500000US37007,37007,"Anson County, North Carolina",25231,*****,12254,56,12119,314,90,59,216,245,0,165,303,52,249,157,0,165,249,157,,,,,,,,,,,,,,,,,,
0500000US37013,37013,"Beaufort County, North Carolina",45794,*****,31282,232,12687,279,128,107,129,128,37,41,1283,310,248,181,0,165,248,181,,,,,,,,,,,,,,,,,,
0500000US37017,37017,"Bladen County, North Carolina",32297,*****,18509,417,11262,428,883,139,48,79,0,165,1206,461,389,426,0,165,389,426,,,,,,,,,,,,,,,,,,
0500000US37019,37019,"Brunswick County, North Carolina",98667,*****,83059,676,11477,501,455,146,327,131,25,42,1231,596,2093,772,363,345,1730,523,,,,,,,,,,,,,,,,,,
0500000US37021,37021,"Buncombe County, North Carolina",225992,*****,201642,681,15985,644,714,325,1950,289,114,122,1881,539,3706,760,239,195,3467,734,,,,,,,,,,,,,,,,,,
0500000US37023,37023,"Burke County, North Carolina",88936,*****,75682,633,5797,196,643,256,2989,140,0,165,2825,744,1000,316,229,196,771,239,,,,,,,,,,,,,,,,,,
0500000US37025,37025,"Cabarrus County, North Carolina",162223,*****,129849,1272,23273,647,273,168,2471,380,422,479,3396,1196,2539,588,300,227,2239,547,,,,,,,,,,,,,,,,,,
0500000US37027,37027,"Caldwell County, North Carolina",79471,*****,71656,406,4083,306,65,87,432,51,0,165,2347,409,888,313,75,97,813,288,,,,,,,,,,,,,,,,,,
0500000US37031,37031,"Carteret County, North Carolina",63184,*****,55673,348,4221,388,207,140,549,65,11,18,1266,268,1257,526,280,244,977,428,,,,,,,,,,,,,,,,,,
0500000US37033,37033,"Caswell County, North Carolina",23314,*****,14742,199,7991,136,89,75,2,6,15,25,154,109,321,248,200,233,121,93,,,,,,,,,,,,,,,,,,
0500000US37035,37035,"Catawba County, North Carolina",154950,*****,126795,1091,12416,441,807,409,4290,338,26,43,8240,1085,2376,566,176,117,2200,567,,,,,,,,,,,,,,,,,,
0500000US37037,37037,"Chatham County, North Carolina",61222,*****,46280,777,8723,341,69,57,1097,133,0,165,4286,814,767,364,261,232,506,289,,,,,,,,,,,,,,,,,,
0500000US37039,37039,"Cherokee County, North Carolina",26365,*****,24826,93,471,188,212,130,113,104,0,165,225,128,518,244,0,165,518,244,,,,,,,,,,,,,,,,,,
0500000US37045,37045,"Cleveland County, North Carolina",98276,*****,75060,441,20179,237,292,105,848,136,0,165,1298,416,599,277,20,33,579,275,,,,,,,,,,,,,,,,,,
0500000US37047,37047,"Columbus County, North Carolina",54049,*****,33738,133,16537,152,1750,84,50,41,0,165,1576,160,398,163,25,49,373,156,,,,,,,,,,,,,,,,,,
0500000US37049,37049,"Craven County, North Carolina",96434,*****,67679,297,22375,411,296,146,1131,205,47,39,2806,521,2100,471,475,244,1625,411,,,,,,,,,,,,,,,,,,
0500000US37051,37051,"Cumberland County, North Carolina",309542,*****,167300,1072,109128,1279,3059,411,6634,409,861,141,8356,1245,14204,1515,1626,513,12578,1440,,,,,,,,,,,,,,,,,,
0500000US37053,37053,"Currituck County, North Carolina",23829,*****,21386,147,1658,256,27,34,130,45,0,165,172,149,456,264,9,17,447,264,,,,,,,,,,,,,,,,,,
0500000US37055,37055,"Dare County, North Carolina",33677,*****,31646,255,1037,372,193,224,52,91,52,88,295,235,402,245,9,20,393,247,,,,,,,,,,,,,,,,,,
0500000US37057,37057,"Davidson County, North Carolina",156245,*****,135289,874,13977,463,597,173,1659,225,0,165,2855,899,1868,560,265,172,1603,520,,,,,,,,,,,,,,,,,,
0500000US37059,37059,"Davie County, North Carolina",40306,*****,36413,417,2699,239,46,68,160,68,0,165,472,381,516,287,0,165,516,287,,,,,,,,,,,,,,,,,,
0500000US37061,37061,"Duplin County, North Carolina",52720,*****,29721,828,13505,456,6,11,322,332,95,128,8613,881,458,334,64,114,394,283,,,,,,,,,,,,,,,,,,
0500000US37063,37063,"Durham County, North Carolina",255644,*****,122353,1385,92975,1053,649,186,10811,401,81,100,22778,1528,5997,1116,853,420,5144,1073,,,,,,,,,,,,,,,,,,
0500000US37065,37065,"Edgecombe County, North Carolina",52805,*****,21157,443,29762,306,282,185,104,148,30,51,1050,438,420,254,74,125,346,225,,,,,,,,,,,,,,,,,,
0500000US37067,37067,"Forsyth County, North Carolina",337198,*****,217289,1892,85247,565,1035,246,4699,318,43,52,25125,1921,3760,852,634,290,3126,767,,,,,,,,,,,,,,,,,,
0500000US37069,37069,"Franklin County, North Carolina",57098,*****,38059,584,15072,336,103,92,233,89,0,165,2688,585,943,391,29,34,914,385,,,,,,,,,,,,,,,,,,
0500000US37071,37071,"Gaston County, North Carolina",202141,*****,160531,767,28618,492,815,222,2076,189,133,119,7346,928,2622,683,570,352,2052,512,,,,,,,,,,,,,,,,,,
0500000US37077,37077,"Granville County, North Carolina",55705,*****,33265,451,18545,266,314,132,284,62,58,102,2619,560,620,236,166,140,454,172,,,,,,,,,,,,,,,,,,
0500000US37079,37079,"Greene County, North Carolina",20542,*****,10081,377,8056,353,327,344,15,22,0,165,1986,376,77,53,13,21,64,49,,,,,,,,,,,,,,,,,,
0500000US37081,37081,"Guilford County, North Carolina",463534,*****,281583,1558,143418,1176,2212,340,15043,371,229,269,15062,1680,5987,1114,637,290,5350,1011,,,,,,,,,,,,,,,,,,
0500000US37083,37083,"Halifax County, North Carolina",55041,*****,22587,133,28946,345,1868,65,302,88,0,165,241,146,1097,356,109,84,988,349,,,,,,,,,,,,,,,,,,
0500000US37085,37085,"Harnett County, North Carolina",108624,*****,74785,848,23482,428,697,189,1109,117,93,86,5728,859,2730,442,457,244,2273,407,,,,,,,,,,,,,,,,,,
0500000US37087,37087,"Haywood County, North Carolina",56363,*****,54499,165,947,234,253,137,69,92,45,77,128,148,422,183,21,36,401,176,,,,,,,,,,,,,,,,,,
0500000US37089,37089,"Henderson County, North Carolina",100364,*****,89381,807,3407,222,349,149,929,73,9,17,5560,836,729,304,235,184,494,233,,,,,,,,,,,,,,,,,,
0500000US37091,37091,"Hertford County, North Carolina",23212,*****,8454,95,13952,210,247,39,48,48,1,2,82,66,428,196,13,22,415,194,,,,,,,,,,,,,,,,,,
0500000US37093,37093,"Hoke County, North Carolina",42204,*****,20527,859,14113,625,3716,250,472,111,0,165,1878,812,1498,782,261,321,1237,705,,,,,,,,,,,,,,,,,,
0500000US37097,37097,"Iredell County, North Carolina",150752,*****,124290,807,18394,573,294,141,2229,271,77,133,3530,796,1938,609,283,234,1655,564,,,,,,,,,,,,,,,,,,
0500000US37099,37099,"Jackson County, North Carolina",36427,*****,30589,149,853,75,3303,387,425,238,18,31,546,185,693,332,68,71,625,326,,,,,,,,,,,,,,,,,,
0500000US37101,37101,"Johnston County, North Carolina",156965,*****,123386,1565,24630,409,321,195,884,125,0,165,5873,1553,1871,434,243,209,1628,400,,,,,,,,,,,,,,,,,,
0500000US37105,37105,"Lee County, North Carolina",57878,*****,38271,897,11578,264,172,88,475,165,0,165,6735,905,647,263,211,210,436,215,,,,,,,,,,,,,,,,,,
0500000US37107,37107,"Lenoir County, North Carolina",56840,*****,30993,346,22796,449,220,171,249,53,0,165,1843,419,739,455,208,220,531,405,,,,,,,,,,,,,,,,,,
0500000US37109,37109,"Lincoln County, North Carolina",72826,*****,63032,743,4308,386,203,166,227,187,74,122,3804,814,1178,451,174,139,1004,417,,,,,,,,,,,,,,,,,,
0500000US37111,37111,"McDowell County, North Carolina",43523,*****,40320,301,1950,219,157,121,501,49,0,165,239,175,356,215,49,62,307,211,,,,,,,,,,,,,,,,,,
0500000US37113,37113,"Macon County, North Carolina",32586,*****,30769,249,623,585,72,98,195,71,0,165,690,396,237,146,46,77,191,168,,,,,,,,,,,,,,,,,,
0500000US37115,37115,"Madison County, North Carolina",20265,*****,19380,76,280,141,306,202,69,68,0,165,38,47,192,139,39,70,153,130,,,,,,,,,,,,,,,,,,
0500000US37117,37117,"Martin County, North Carolina",23604,*****,12381,291,10401,236,50,46,0,165,0,165,539,323,233,213,0,165,233,213,,,,,,,,,,,,,,,,,,
0500000US37119,37119,"Mecklenburg County, North Carolina",862131,*****,520892,3096,252281,1791,3301,473,33654,698,773,171,37357,3169,13873,1588,1523,527,12350,1516,,,,,,,,,,,,,,,,,,
0500000US37123,37123,"Montgomery County, North Carolina",27287,*****,17655,422,5357,218,35,56,471,56,0,165,3390,457,379,206,119,172,260,218,,,,,,,,,,,,,,,,,,
0500000US37125,37125,"Moore County, North Carolina",84058,*****,67194,717,12597,233,554,138,539,155,7,14,2494,782,673,294,157,152,516,226,,,,,,,,,,,,,,,,,,
0500000US37127,37127,"Nash County, North Carolina",92549,*****,53647,327,34105,195,381,86,793,46,0,165,3030,404,593,220,94,96,499,203,,,,,,,,,,,,,,,,,,
0500000US37129,37129,"New Hanover County, North Carolina",189860,*****,150959,535,29335,606,718,227,2141,182,162,193,4100,580,2445,636,288,145,2157,605,,,,,,,,,,,,,,,,,,
0500000US37133,37133,"Onslow County, North Carolina",163390,*****,120083,667,27415,612,989,356,3194,235,196,174,6219,595,5294,760,913,285,4381,752,,,,,,,,,,,,,,,,,,
