GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
0500000US37001,37001,"Alamance County, North Carolina",147072,*****,103107,765,26668,459,396,131,1756,187,173,146,11803,786,3169,615,412,218,2757,535
0500000US37003,37003,"Alexander County, North Carolina",36797,*****,32700,221,1862,190,83,55,340,93,129,168,1200,241,483,223,62,94,421,203
0500000US37005,37005,"Alleghany County, North Carolina",11084,*****,10025,291,69,93,15,68,31,42,2,11,794,670,148,223,70,112,78,331
0500000US37007,37007,"Anson County, North Carolina",26785,*****,12473,126,13248,293,186,36,276,127,0,127,263,185,339,209,8,15,331,209
0500000US37009,37009,"Ashe County, North Carolina",26787,*****,25739,177,30,45,52,40,37,36,0,127,852,169,77,55,40,42,37,35
0500000US37011,37011,"Avery County, North Carolina",17951,*****,15652,436,584,109,166,99,112,97,80,117,198,194,1159,362,37,39,1122,357
0500000US37013,37013,"Beaufort County, North Carolina",47185,*****,32075,218,12330,196,119,64,203,127,28,33,1981,275,449,210,79,101,370,174
0500000US37015,37015,"Bertie County, North Carolina",20890,*****,7496,141,12935,167,137,20,89,27,6,11,122,118,105,77,8,13,97,80
0500000US37017,37017,"Bladen County, North Carolina",34629,*****,19684,355,12034,353,773,79,11,17,0,127,1334,397,793,443,24,46,769,440
0500000US37019,37019,"Brunswick County, North Carolina",101994,*****,85645,557,11503,405,320,121,458,114,0,127,1687,490,2381,546,314,272,2067,432
0500000US37021,37021,"Buncombe County, North Carolina",233249,*****,207006,773,15332,421,890,324,2282,151,187,81,3006,611,4546,626,772,303,3774,529
0500000US37023,37023,"Burke County, North Carolina",90557,*****,77371,418,6115,179,325,81,3055,153,37,41,2245,427,1409,290,240,130,1169,233
0500000US37025,37025,"Cabarrus County, North Carolina",169990,*****,134725,883,24896,553,560,191,3132,300,134,172,3496,831,3047,539,408,190,2639,483
0500000US37027,37027,"Caldwell County, North Carolina",82162,*****,73817,354,3843,254,159,81,437,56,45,44,2757,356,1104,261,58,52,1046,264
0500000US37029,37029,"Camden County, North Carolina",9719,*****,7891,110,1485,185,0,127,128,162,0,127,51,51,164,137,0,127,164,137
0500000US37031,37031,"Carteret County, North Carolina",65068,*****,57815,334,3799,292,229,125,498,93,15,26,1284,298,1428,297,223,138,1205,272
0500000US37033,37033,"Caswell County, North Carolina",23848,*****,14984,173,8084,164,167,99,10,16,9,16,220,108,374,253,110,157,264,141
0500000US37035,37035,"Catawba County, North Carolina",153149,*****,125454,796,12697,445,550,207,4921,212,11,19,6340,792,3176,567,492,245,2684,494
0500000US37037,37037,"Chatham County, North Carolina",61426,*****,47443,706,8515,274,224,60,782,103,0,127,3577,771,885,249,188,146,697,226
0500000US37039,37039,"Cherokee County, North Carolina",27317,*****,25440,104,222,198,438,187,177,127,0,127,381,165,659,238,113,100,546,206
0500000US37041,37041,"Chowan County, North Carolina",14859,*****,9147,86,5085,143,167,132,81,75,0,127,306,150,73,68,0,127,73,68
0500000US37043,37043,"Clay County, North Carolina",10418,*****,10055,97,230,178,44,55,0,127,17,31,26,48,46,62,0,127,46,62
0500000US37045,37045,"Cleveland County, North Carolina",97786,*****,74684,309,20326,240,244,67,832,58,13,22,911,306,776,227,39,36,737,225
0500000US37047,37047,"Columbus County, North Carolina",56856,*****,35071,297,17404,95,1703,122,154,64,0,127,1949,367,575,181,0,127,575,181
0500000US37049,37049,"Craven County, North Carolina",100001,*****,69475,464,22368,451,420,85,1612,286,105,89,3230,501,2791,438,546,201,2245,431
0500000US37051,37051,"Cumberland County, North Carolina",312994,*****,162533,1083,111259,1292,3233,392,7046,384,1056,117,10913,996,16954,1583,2152,465,14802,1409
0500000US37053,37053,"Currituck County, North Carolina",23299,*****,21103,104,1459,109,20,35,129,40,0,127,101,86,487,165,80,83,407,139
0500000US37055,37055,"Dare County, North Carolina",33650,*****,31602,228,1267,219,98,94,86,90,0,127,360,237,237,178,22,36,215,172
0500000US37057,37057,"Davidson County, North Carolina",160638,*****,138221,695,14438,405,729,184,2213,175,70,88,3289,690,1678,429,386,177,1292,401
0500000US37059,37059,"Davie County, North Carolina",40581,*****,36073,474,2579,127,54,50,186,54,29,46,971,486,689,265,174,235,515,164
0500000US37061,37061,"Duplin County, North Carolina",56657,*****,32508,813,14626,192,51,67,158,37,55,79,8325,916,934,372,272,321,662,213
