GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC02_VC03,HC03_VC03,HC04_VC03,HC01_VC04,HC02_VC04,HC03_VC04,HC04_VC04,HC01_VC05,HC02_VC05,HC03_VC05,HC04_VC05,HC01_VC08,HC02_VC08,HC03_VC08,HC04_VC08,HC01_VC09,HC02_VC09,HC03_VC09,HC04_VC09,HC01_VC10,HC02_VC10,HC03_VC10,HC04_VC10,HC01_VC11,HC02_VC11,HC03_VC11,HC04_VC11,HC01_VC12,HC02_VC12,HC03_VC12,HC04_VC12,HC01_VC13,HC02_VC13,HC03_VC13,HC04_VC13,HC01_VC14,HC02_VC14,HC03_VC14,HC04_VC14,HC01_VC15,HC02_VC15,HC03_VC15,HC04_VC15,HC01_VC16,HC02_VC16,HC03_VC16,HC04_VC16,HC01_VC17,HC02_VC17,HC03_VC17,HC04_VC17,HC01_VC18,HC02_VC18,HC03_VC18,HC04_VC18,HC01_VC19,HC02_VC19,HC03_VC19,HC04_VC19,HC01_VC20,HC02_VC20,HC03_VC20,HC04_VC20,HC01_VC23,HC02_VC23,HC03_VC23,HC04_VC23,HC01_VC26,HC02_VC26,HC03_VC26,HC04_VC26,HC01_VC27,HC02_VC27,HC03_VC27,HC04_VC27,HC01_VC28,HC02_VC28,HC03_VC28,HC04_VC28,HC01_VC29,HC02_VC29,HC03_VC29,HC04_VC29,HC01_VC32,HC02_VC32,HC03_VC32,HC04_VC32,HC01_VC33,HC02_VC33,HC03_VC33,HC04_VC33,HC01_VC34,HC02_VC34,HC03_VC34,HC04_VC34,HC01_VC37,HC02_VC37,HC03_VC37,HC04_VC37,HC01_VC38,HC02_VC38,HC03_VC38,HC04_VC38,HC01_VC39,HC02_VC39,HC03_VC39,HC04_VC39,HC01_VC43,HC02_VC43,HC03_VC43,HC04_VC43,HC01_VC44,HC02_VC44,HC03_VC44,HC04_VC44,HC01_VC45,HC02_VC45,HC03_VC45,HC04_VC45,HC01_VC48,HC02_VC48,HC03_VC48,HC04_VC48,HC01_VC49,HC02_VC49,HC03_VC49,HC04_VC49,HC01_VC50,HC02_VC50,HC03_VC50,HC04_VC50,HC01_VC51,HC02_VC51,HC03_VC51,HC04_VC51,HC01_VC52,HC02_VC52,HC03_VC52,HC04_VC52,HC01_VC53,HC02_VC53,HC03_VC53,HC04_VC53,HC01_VC54,HC02_VC54,HC03_VC54,HC04_VC54,HC01_VC55,HC02_VC55,HC03_VC55,HC04_VC55,HC01_VC56,HC02_VC56,HC03_VC56,HC04_VC56,HC01_VC57,HC02_VC57,HC03_VC57,HC04_VC57,HC01_VC58,HC02_VC58,HC03_VC58,HC04_VC58,HC01_VC59,HC02_VC59,HC03_VC59,HC04_VC59,HC01_VC60,HC02_VC60,HC03_VC60,HC04_VC60,HC01_VC61,HC02_VC61,HC03_VC61,HC04_VC61,HC01_VC62,HC02_VC62,HC03_VC62,HC04_VC62,HC01_VC63,HC02_VC63,HC03_VC63,HC04_VC63,HC01_VC64,HC02_VC64,HC03_VC64,HC04_VC64,HC01_VC65,HC02_VC65,HC03_VC65,HC04_VC65,HC01_VC66,HC02_VC66,HC03_VC66,HC04_VC66,HC01_VC67,HC02_VC67,HC03_VC67,HC04_VC67,HC01_VC68,HC02_VC68,HC03_VC68,HC04_VC68,HC01_VC69,HC02_VC69,HC03_VC69,HC04_VC69,HC01_VC70,HC02_VC70,HC03_VC70,HC04_VC70,HC01_VC71,HC02_VC71,HC03_VC71,HC04_VC71,HC01_VC72,HC02_VC72,HC03_VC72,HC04_VC72,HC01_VC73,HC02_VC73,HC03_VC73,HC04_VC73,HC01_VC74,HC02_VC74,HC03_VC74,HC04_VC74,HC01_VC77,HC02_VC77,HC03_VC77,HC04_VC77,HC01_VC78,HC02_VC78,HC03_VC78,HC04_VC78,HC01_VC79,HC02_VC79,HC03_VC79,HC04_VC79,HC01_VC80,HC02_VC80,HC03_VC80,HC04_VC80,HC01_VC81,HC02_VC81,HC03_VC81,HC04_VC81,HC01_VC82,HC02_VC82,HC03_VC82,HC04_VC82,HC01_VC83,HC02_VC83,HC03_VC83,HC04_VC83,HC01_VC87,HC02_VC87,HC03_VC87,HC04_VC87,HC01_VC88,HC02_VC88,HC03_VC88,HC04_VC88,HC01_VC89,HC02_VC89,HC03_VC89,HC04_VC89,HC01_VC90,HC02_VC90,HC03_VC90,HC04_VC90,HC01_VC91,HC02_VC91,HC03_VC91,HC04_VC91,HC01_VC92,HC02_VC92,HC03_VC92,HC04_VC92,HC01_VC93,HC02_VC93,HC03_VC93,HC04_VC93,HC01_VC94,HC02_VC94,HC03_VC94,HC04_VC94,HC01_VC95,HC02_VC95,HC03_VC95,HC04_VC95,HC01_VC96,HC02_VC96,HC03_VC96,HC04_VC96,HC01_VC97,HC02_VC97,HC03_VC97,HC04_VC97,HC01_VC98,HC02_VC98,HC03_VC98,HC04_VC98,HC01_VC99,HC02_VC99,HC03_VC99,HC04_VC99,HC01_VC100,HC02_VC100,HC03_VC100,HC04_VC100,HC01_VC101,HC02_VC101,HC03_VC101,HC04_VC101,HC01_VC102,HC02_VC102,HC03_VC102,HC04_VC102,HC01_VC104,HC02_VC104,HC03_VC104,HC04_VC104,HC01_VC108,HC02_VC108,HC03_VC108,HC04_VC108,HC01_VC109,HC02_VC109,HC03_VC109,HC04_VC109,HC01_VC110,HC02_VC110,HC03_VC110,HC04_VC110
0500000US37001,37001,"Alamance County, North Carolina",156372,*****,156372,(X),74352,58,47.5,0.1,82020,58,52.5,0.1,9202,42,5.9,0.1,9956,484,6.4,0.3,10340,485,6.6,0.3,11518,119,7.4,0.1,10321,60,6.6,0.1,18414,117,11.8,0.1,19448,132,12.4,0.1,22367,129,14.3,0.1,10452,406,6.7,0.3,9312,404,6,0.3,13907,104,8.9,0.1,7593,336,4.9,0.2,3542,329,2.3,0.2,39.6,0.3,(X),(X),120689,*****,77.2,*****,113039,324,72.3,0.2,30511,361,19.5,0.2,25042,66,16,0.1,120689,*****,120689,(X),56013,*****,46.4,*****,64676,*****,53.6,*****,25042,66,25042,(X),10416,30,41.6,0.1,14626,47,58.4,0.1,156372,*****,156372,(X),152090,607,97.3,0.4,4282,607,2.7,0.4,152090,607,97.3,0.4,110548,1023,70.7,0.7,29039,579,18.6,0.4,621,231,0.4,0.1,110,57,0.1,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,2214,173,1.4,0.1,415,215,0.3,0.1,520,301,0.3,0.2,118,64,0.1,0.1,59,43,0,0.1,120,92,0.1,0.1,331,284,0.2,0.2,651,285,0.4,0.2,282,296,0.2,0.2,241,294,0.2,0.2,0,28,0,0.1,0,28,0,0.1,41,39,0,0.1,9386,961,6,0.6,4282,607,2.7,0.4,1669,417,1.1,0.3,712,183,0.5,0.1,327,163,0.2,0.1,308,150,0.2,0.1,156372,*****,156372,(X),114328,1062,73.1,0.7,31573,395,20.2,0.3,2052,399,1.3,0.3,2618,44,1.7,0.1,327,308,0.2,0.2,10186,1045,6.5,0.7,156372,*****,156372,(X),18879,*****,12.1,*****,13645,868,8.7,0.6,1305,406,0.8,0.3,318,191,0.2,0.1,3611,834,2.3,0.5,137493,*****,87.9,*****,102444,150,65.5,0.1,28814,563,18.4,0.4,380,107,0.2,0.1,2214,173,1.4,0.1,282,296,0.2,0.2,186,151,0.1,0.1,3173,493,2,0.3,26,25,0,0.1,3147,490,2,0.3,68211,209,(X),(X),112292,540,112292,(X),51870,387,46.2,0.2,60422,288,53.8,0.2
0500000US37003,37003,"Alexander County, North Carolina",37211,*****,37211,(X),18974,162,51,0.4,18237,162,49,0.4,1858,101,5,0.3,2683,236,7.2,0.6,1954,215,5.3,0.6,2240,105,6,0.3,2189,198,5.9,0.5,4191,239,11.3,0.6,4864,184,13.1,0.5,5365,124,14.4,0.3,2720,243,7.3,0.7,2287,228,6.1,0.6,4129,81,11.1,0.2,2085,164,5.6,0.4,646,167,1.7,0.4,42.4,0.5,(X),(X),29216,87,78.5,0.2,28013,156,75.3,0.4,8097,227,21.8,0.6,6860,97,18.4,0.3,29216,87,29216,(X),14844,82,50.8,0.2,14372,53,49.2,0.2,6860,97,6860,(X),3058,61,44.6,0.6,3802,70,55.4,0.6,37211,*****,37211,(X),36750,157,98.8,0.4,461,157,1.2,0.4,36750,157,98.8,0.4,33005,280,88.7,0.8,2142,163,5.8,0.4,114,119,0.3,0.3,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,430,22,1.2,0.1,11,37,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,419,53,1.1,0.1,35,51,0.1,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,35,51,0.1,0.1,1024,278,2.8,0.7,461,157,1.2,0.4,176,117,0.5,0.3,189,66,0.5,0.2,7,22,0,0.1,8,16,0,0.1,37211,*****,37211,(X),33454,310,89.9,0.8,2337,114,6.3,0.3,315,112,0.8,0.3,437,25,1.2,0.1,82,112,0.2,0.3,1058,270,2.8,0.7,37211,*****,37211,(X),1662,*****,4.5,*****,1349,183,3.6,0.5,56,40,0.2,0.1,34,53,0.1,0.1,223,160,0.6,0.4,35549,*****,95.5,*****,32502,25,87.3,0.1,2133,165,5.7,0.4,36,57,0.1,0.2,430,22,1.2,0.1,35,51,0.1,0.1,0,25,0,0.1,413,144,1.1,0.4,4,8,0,0.1,409,143,1.1,0.4,16179,80,(X),(X),28574,222,28574,(X),14608,151,51.1,0.4,13966,149,48.9,0.4
0500000US37005,37005,"Alleghany County, North Carolina",10868,*****,10868,(X),5391,81,49.6,0.7,5477,81,50.4,0.7,475,82,4.4,0.8,514,130,4.7,1.2,642,120,5.9,1.1,622,115,5.7,1.1,593,102,5.5,0.9,821,98,7.6,0.9,1321,146,12.2,1.3,1520,79,14,0.7,898,110,8.3,1,884,116,8.1,1.1,1493,21,13.7,0.2,813,57,7.5,0.5,272,59,2.5,0.5,48.5,0.6,(X),(X),8881,*****,81.7,*****,8503,117,78.2,1.1,3121,116,28.7,1.1,2578,21,23.7,0.2,8881,*****,8881,(X),4392,40,49.5,0.4,4489,40,50.5,0.4,2578,21,2578,(X),1181,22,45.8,0.7,1397,21,54.2,0.7,10868,*****,10868,(X),10788,50,99.3,0.5,80,50,0.7,0.5,10788,50,99.3,0.5,9936,191,91.4,1.8,262,79,2.4,0.7,170,202,1.6,1.9,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,17,32,0.2,0.3,0,19,0,0.3,0,19,0,0.3,17,32,0.2,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,0,19,0,0.3,403,232,3.7,2.1,80,50,0.7,0.5,36,37,0.3,0.3,0,19,0,0.3,5,8,0,0.1,5,8,0,0.1,10868,*****,10868,(X),10011,203,92.1,1.9,320,48,2.9,0.4,192,205,1.8,1.9,26,40,0.2,0.4,4,8,0,0.1,420,235,3.9,2.2,10868,*****,10868,(X),1014,*****,9.3,*****,785,115,7.2,1.1,109,108,1,1,60,44,0.6,0.4,60,59,0.6,0.5,9854,*****,90.7,*****,9513,19,87.5,0.3,262,79,2.4,0.7,10,21,0.1,0.2,17,32,0.2,0.3,0,19,0,0.3,0,19,0,0.3,52,50,0.5,0.5,0,19,0,0.3,52,50,0.5,0.5,8108,53,(X),(X),8420,97,8420,(X),4096,86,48.6,0.6,4324,51,51.4,0.6
0500000US37007,37007,"Anson County, North Carolina",25883,*****,25883,(X),13575,48,52.4,0.2,12308,48,47.6,0.2,1294,46,5,0.2,1482,162,5.7,0.6,1505,155,5.8,0.6,1560,154,6,0.6,1862,235,7.2,0.9,3567,222,13.8,0.9,3349,76,12.9,0.3,3617,74,14,0.3,2027,212,7.8,0.8,1463,211,5.7,0.8,2510,59,9.7,0.2,1126,125,4.4,0.5,521,111,2,0.4,39.9,0.5,(X),(X),20617,22,79.7,0.1,19678,212,76,0.8,5150,172,19.9,0.7,4157,13,16.1,0.1,20617,22,20617,(X),10915,41,52.9,0.2,9702,37,47.1,0.2,4157,13,4157,(X),1745,7,42,0.1,2412,6,58,0.1,25883,*****,25883,(X),25590,137,98.9,0.5,293,137,1.1,0.5,25590,137,98.9,0.5,12423,188,48,0.7,12612,141,48.7,0.5,86,50,0.3,0.2,9,13,0,0.1,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,301,22,1.2,0.1,54,61,0.2,0.2,12,22,0,0.1,8,13,0,0.1,0,22,0,0.1,0,22,0,0.1,9,13,0,0.1,218,67,0.8,0.3,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,168,181,0.6,0.7,293,137,1.1,0.5,166,123,0.6,0.5,42,34,0.2,0.1,0,22,0,0.1,41,30,0.2,0.1,25883,*****,25883,(X),12675,218,49,0.8,12847,54,49.6,0.2,197,82,0.8,0.3,301,22,1.2,0.1,8,13,0,0.1,176,182,0.7,0.7,25883,*****,25883,(X),940,*****,3.6,*****,838,106,3.2,0.4,14,15,0.1,0.1,29,41,0.1,0.2,59,75,0.2,0.3,24943,*****,96.4,*****,11671,22,45.1,0.1,12612,141,48.7,0.5,67,39,0.3,0.2,301,22,1.2,0.1,0,22,0,0.1,8,13,0,0.1,284,137,1.1,0.5,0,22,0,0.1,284,137,1.1,0.5,11512,92,(X),(X),19946,96,19946,(X),10393,61,52.1,0.1,9553,52,47.9,0.1
0500000US37009,37009,"Ashe County, North Carolina",26992,*****,26992,(X),13302,85,49.3,0.3,13690,85,50.7,0.3,1284,15,4.8,0.1,1444,204,5.3,0.8,1367,194,5.1,0.7,1369,72,5.1,0.3,1297,111,4.8,0.4,2892,127,10.7,0.5,3127,110,11.6,0.4,3802,93,14.1,0.3,1824,234,6.8,0.9,2404,223,8.9,0.8,3596,15,13.3,0.1,1857,152,6.9,0.6,729,151,2.7,0.6,46.9,0.4,(X),(X),21998,25,81.5,0.1,21284,159,78.9,0.6,7730,216,28.6,0.8,6182,41,22.9,0.2,21998,25,21998,(X),10745,64,48.8,0.3,11253,65,51.2,0.3,6182,41,6182,(X),2810,37,45.5,0.3,3372,15,54.5,0.3,26992,*****,26992,(X),26570,128,98.4,0.5,422,128,1.6,0.5,26570,128,98.4,0.5,25354,246,93.9,0.9,193,34,0.7,0.1,92,21,0.3,0.1,8,13,0,0.1,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,85,38,0.3,0.1,16,17,0.1,0.1,0,22,0,0.1,29,33,0.1,0.1,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,40,42,0.1,0.2,15,19,0.1,0.1,15,19,0.1,0.1,0,22,0,0.1,0,22,0,0.1,0,22,0,0.1,831,268,3.1,1,422,128,1.6,0.5,83,21,0.3,0.1,116,91,0.4,0.3,54,34,0.2,0.1,0,22,0,0.1,26992,*****,26992,(X),25752,277,95.4,1,282,19,1,0.1,208,78,0.8,0.3,157,22,0.6,0.1,31,31,0.1,0.1,984,260,3.6,1,26992,*****,26992,(X),1382,*****,5.1,*****,1133,138,4.2,0.5,27,34,0.1,0.1,195,132,0.7,0.5,27,23,0.1,0.1,25610,*****,94.9,*****,24998,22,92.6,0.1,193,34,0.7,0.1,92,21,0.3,0.1,85,38,0.3,0.1,15,19,0.1,0.1,0,22,0,0.1,227,50,0.8,0.2,8,11,0,0.1,219,48,0.8,0.2,17420,107,(X),(X),21166,121,21166,(X),10154,79,48,0.3,11012,103,52,0.3
0500000US37011,37011,"Avery County, North Carolina",17633,*****,17633,(X),9639,95,54.7,0.5,7994,95,45.3,0.5,676,56,3.8,0.3,662,99,3.8,0.6,892,93,5.1,0.5,1237,367,7,2.1,1031,229,5.8,1.3,2174,125,12.3,0.7,2395,71,13.6,0.4,2562,78,14.5,0.4,1278,158,7.2,0.9,1129,130,6.4,0.7,2078,53,11.8,0.3,1145,87,6.5,0.5,374,90,2.1,0.5,44,0.5,(X),(X),14872,48,84.3,0.3,13966,457,79.2,2.6,4305,138,24.4,0.8,3597,61,20.4,0.3,14872,48,14872,(X),8195,103,55.1,0.6,6677,82,44.9,0.6,3597,61,3597,(X),1653,38,46,0.8,1944,47,54,0.8,17633,*****,17633,(X),17380,115,98.6,0.7,253,115,1.4,0.7,17380,115,98.6,0.7,16209,198,91.9,1.1,655,113,3.7,0.6,86,51,0.5,0.3,30,24,0.2,0.1,11,21,0.1,0.1,0,19,0,0.2,0,19,0,0.2,85,66,0.5,0.4,11,13,0.1,0.1,30,57,0.2,0.3,12,22,0.1,0.1,0,19,0,0.2,1,3,0,0.1,6,12,0,0.1,25,33,0.1,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,0,19,0,0.2,345,206,2,1.2,253,115,1.4,0.7,87,80,0.5,0.5,79,68,0.4,0.4,45,94,0.3,0.5,6,10,0,0.1,17633,*****,17633,(X),16426,226,93.2,1.3,762,120,4.3,0.7,180,105,1,0.6,153,86,0.9,0.5,11,15,0.1,0.1,356,201,2,1.1,17633,*****,17633,(X),884,*****,5,*****,708,125,4,0.7,84,97,0.5,0.5,17,27,0.1,0.2,75,72,0.4,0.4,16749,*****,95,*****,15731,6,89.2,0.1,651,113,3.7,0.6,86,51,0.5,0.3,85,66,0.5,0.4,0,19,0,0.2,3,6,0,0.1,193,80,1.1,0.5,0,19,0,0.2,193,80,1.1,0.5,14008,399,(X),(X),14282,89,14282,(X),7792,142,54.6,0.8,6490,97,45.4,0.8
0500000US37013,37013,"Beaufort County, North Carolina",47513,*****,47513,(X),22714,204,47.8,0.4,24799,204,52.2,0.4,2511,5,5.3,0.1,2831,313,6,0.7,3000,294,6.3,0.6,2706,207,5.7,0.4,2604,156,5.5,0.3,4540,202,9.6,0.4,5460,201,11.5,0.4,6247,202,13.1,0.4,3709,284,7.8,0.6,3603,284,7.6,0.6,6254,65,13.2,0.1,3059,179,6.4,0.4,989,164,2.1,0.3,45.2,0.4,(X),(X),37420,63,78.8,0.1,35770,228,75.3,0.5,12611,298,26.5,0.6,10302,85,21.7,0.2,37420,63,37420,(X),17653,61,47.2,0.1,19767,47,52.8,0.1,10302,85,10302,(X),4604,71,44.7,0.4,5698,46,55.3,0.4,47513,*****,47513,(X),46590,334,98.1,0.7,923,334,1.9,0.7,46590,334,98.1,0.7,33458,560,70.4,1.2,12331,313,26,0.7,54,49,0.1,0.1,24,38,0.1,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,59,56,0.1,0.1,25,43,0.1,0.1,1,4,0,0.1,9,14,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,24,36,0.1,0.1,48,75,0.1,0.2,23,35,0,0.1,25,43,0.1,0.1,0,25,0,0.1,0,25,0,0.1,640,550,1.3,1.2,923,334,1.9,0.7,479,325,1,0.7,185,50,0.4,0.1,10,16,0,0.1,53,50,0.1,0.1,47513,*****,47513,(X),34284,578,72.2,1.2,12899,342,27.1,0.7,352,89,0.7,0.2,103,89,0.2,0.2,48,75,0.1,0.2,800,555,1.7,1.2,47513,*****,47513,(X),3553,*****,7.5,*****,3117,241,6.6,0.5,186,193,0.4,0.4,83,78,0.2,0.2,167,94,0.4,0.2,43960,*****,92.5,*****,31323,28,65.9,0.1,11994,175,25.2,0.4,54,49,0.1,0.1,34,37,0.1,0.1,2,3,0,0.1,14,23,0,0.1,539,168,1.1,0.4,16,17,0,0.1,523,166,1.1,0.4,25387,67,(X),(X),36274,277,36274,(X),17063,168,47,0.3,19211,185,53,0.3
0500000US37015,37015,"Bertie County, North Carolina",20324,*****,20324,(X),10389,60,51.1,0.3,9935,60,48.9,0.3,894,12,4.4,0.1,1218,153,6,0.8,912,156,4.5,0.8,1051,99,5.2,0.5,1303,100,6.4,0.5,2506,53,12.3,0.3,2271,93,11.2,0.5,3055,169,15,0.8,1614,192,7.9,0.9,1513,189,7.4,0.9,2163,18,10.6,0.1,1269,133,6.2,0.7,555,136,2.7,0.7,45,0.5,(X),(X),16646,63,81.9,0.3,15910,163,78.3,0.8,4829,165,23.8,0.8,3987,46,19.6,0.2,16646,63,16646,(X),8496,70,51,0.3,8150,55,49,0.3,3987,46,3987,(X),1671,6,41.9,0.5,2316,45,58.1,0.5,20324,*****,20324,(X),20190,86,99.3,0.4,134,86,0.7,0.4,20190,86,99.3,0.4,7313,119,36,0.6,12608,50,62,0.2,127,42,0.6,0.2,12,18,0.1,0.1,0,22,0,0.2,0,22,0,0.2,0,22,0,0.2,113,18,0.6,0.1,0,22,0,0.2,23,34,0.1,0.2,59,42,0.3,0.2,0,22,0,0.2,0,22,0,0.2,10,15,0,0.1,21,28,0.1,0.1,2,4,0,0.1,0,22,0,0.2,0,22,0,0.2,2,4,0,0.1,0,22,0,0.2,27,35,0.1,0.2,134,86,0.7,0.4,4,7,0,0.1,23,35,0.1,0.2,13,18,0.1,0.1,26,34,0.1,0.2,20324,*****,20324,(X),7411,77,36.5,0.4,12666,99,62.3,0.5,214,94,1.1,0.5,139,19,0.7,0.1,2,4,0,0.1,57,55,0.3,0.3,20324,*****,20324,(X),394,*****,1.9,*****,302,126,1.5,0.6,0,22,0,0.2,48,99,0.2,0.5,44,53,0.2,0.3,19930,*****,98.1,*****,7020,48,34.5,0.2,12579,35,61.9,0.2,107,34,0.5,0.2,113,18,0.6,0.1,2,4,0,0.1,0,22,0,0.2,109,66,0.5,0.3,30,48,0.1,0.2,79,56,0.4,0.3,9759,78,(X),(X),16344,125,16344,(X),8237,137,50.4,0.5,8107,48,49.6,0.5
0500000US37017,37017,"Bladen County, North Carolina",34454,*****,34454,(X),16361,88,47.5,0.3,18093,88,52.5,0.3,1882,41,5.5,0.1,2346,293,6.8,0.9,2014,282,5.8,0.8,1900,135,5.5,0.4,2065,218,6,0.6,3553,219,10.3,0.6,4276,145,12.4,0.4,4684,150,13.6,0.4,2553,304,7.4,0.9,2847,301,8.3,0.9,3823,20,11.1,0.1,1801,182,5.2,0.5,710,182,2.1,0.5,42.9,0.4,(X),(X),26938,*****,78.2,*****,25786,201,74.8,0.6,7693,240,22.3,0.7,6334,17,18.4,0.1,26938,*****,26938,(X),12601,41,46.8,0.1,14337,40,53.2,0.1,6334,17,6334,(X),2719,10,42.9,0.1,3615,15,57.1,0.1,34454,*****,34454,(X),34031,185,98.8,0.5,423,185,1.2,0.5,34031,185,98.8,0.5,19831,443,57.6,1.3,12086,179,35.1,0.5,817,92,2.4,0.3,71,78,0.2,0.2,0,25,0,0.1,0,25,0,0.1,9,15,0,0.1,20,24,0.1,0.1,0,25,0,0.1,0,25,0,0.1,1,3,0,0.1,0,25,0,0.1,0,25,0,0.1,13,22,0,0.1,6,10,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,0,25,0,0.1,1277,390,3.7,1.1,423,185,1.2,0.5,86,68,0.2,0.2,113,76,0.3,0.2,12,21,0,0.1,54,55,0.2,0.2,34454,*****,34454,(X),20133,464,58.4,1.3,12291,195,35.7,0.6,986,82,2.9,0.2,34,35,0.1,0.1,8,13,0,0.1,1425,406,4.1,1.2,34454,*****,34454,(X),2580,*****,7.5,*****,2242,211,6.5,0.6,171,176,0.5,0.5,0,25,0,0.1,167,125,0.5,0.4,31874,*****,92.5,*****,18688,115,54.2,0.3,11963,94,34.7,0.3,771,76,2.2,0.2,20,24,0.1,0.1,0,25,0,0.1,170,121,0.5,0.4,262,123,0.8,0.4,20,24,0.1,0.1,242,119,0.7,0.3,17639,81,(X),(X),25675,149,25675,(X),11843,103,46.1,0.3,13832,118,53.9,0.3
0500000US37019,37019,"Brunswick County, North Carolina",119167,*****,119167,(X),57790,87,48.5,0.1,61377,87,51.5,0.1,5444,54,4.6,0.1,5962,423,5,0.4,5628,431,4.7,0.4,5249,153,4.4,0.1,4889,252,4.1,0.2,11656,257,9.8,0.2,12640,174,10.6,0.1,14534,97,12.2,0.1,9569,538,8,0.5,11540,540,9.7,0.5,21970,131,18.4,0.1,7970,241,6.7,0.2,2116,247,1.8,0.2,50.9,0.2,(X),(X),98692,*****,82.8,*****,96083,255,80.6,0.2,39066,476,32.8,0.4,32056,115,26.9,0.1,98692,*****,98692,(X),47235,*****,47.9,*****,51457,*****,52.1,*****,32056,115,32056,(X),15575,65,48.6,0.1,16481,68,51.4,0.1,119167,*****,119167,(X),116852,350,98.1,0.3,2315,350,1.9,0.3,116852,350,98.1,0.3,99521,564,83.5,0.5,12589,595,10.6,0.5,506,200,0.4,0.2,58,56,0,0.1,0,28,0,0.1,0,28,0,0.1,0,28,0,0.1,800,116,0.7,0.1,190,108,0.2,0.1,196,102,0.2,0.1,125,153,0.1,0.1,120,74,0.1,0.1,69,63,0.1,0.1,33,44,0,0.1,67,58,0.1,0.1,559,528,0.5,0.4,110,164,0.1,0.1,32,37,0,0.1,0,28,0,0.1,417,516,0.3,0.4,2877,596,2.4,0.5,2315,350,1.9,0.3,567,206,0.5,0.2,1030,111,0.9,0.1,204,115,0.2,0.1,125,105,0.1,0.1,119167,*****,119167,(X),101651,617,85.3,0.5,13539,559,11.4,0.5,1796,229,1.5,0.2,1130,170,0.9,0.1,574,521,0.5,0.4,3002,617,2.5,0.5,119167,*****,119167,(X),5640,*****,4.7,*****,3860,376,3.2,0.3,840,223,0.7,0.2,102,66,0.1,0.1,838,293,0.7,0.2,113527,*****,95.3,*****,97089,121,81.5,0.1,12401,583,10.4,0.5,327,107,0.3,0.1,792,115,0.7,0.1,559,528,0.5,0.4,118,93,0.1,0.1,2241,353,1.9,0.3,95,101,0.1,0.1,2146,330,1.8,0.3,81727,104,(X),(X),96129,406,96129,(X),45802,297,47.6,0.2,50327,223,52.4,0.2
