County,FIPS
Alamance,01
Alexander,03
Alleghany,05
Anson,07
Ashe,09
Avery,11
Beaufort,13
Bertie,15
Bladen,17
Brunswick,19
Buncombe,21
Burke,23
Cabarrus,25
Caldwell,27
Camden,29
Carteret,31
Caswell,33
Catawba,35
Chatham,37
Cherokee,39
Chowan,41
Clay,43
Cleveland,45
Columbus,47
Craven,49
Cumberland,51
Currituck,53
Dare,55
Davidson,57
Davie,59
Duplin,61
Durham,63
Edgecombe,65
Forsyth,67
Franklin,69
Gaston,71
Gates,73
Graham,75
Granville,77
Greene,79
Guilford,81
Halifax,83
Harnett,85
Haywood,87
Henderson,89
Hertford,91
Hoke,93
Hyde,95
Iredell,97
Jackson,99
Johnston,101
Jones,103
Lee,105
Lenoir,107
Lincoln,109
McDowell,111
Macon,113
Madison,115
Martin,117
Mecklenburg,119
Mitchell,121
Montgomery,123
Moore,125
Nash,127
New Hanover,129
Northampton,131
Onslow,133
Orange,135
Pamlico,137
Pasquotank,139
Pender,141
Perquimans,143
Person,145
Pitt,147
Polk,149
Randolph,151
Richmond,153
Robeson,155
Rockingham,157
Rowan,159
Rutherford,161
Sampson,163
Scotland,165
Stanly,167
Stokes,169
Surry,171
Swain,173
Transylvania,175
Tyrrell,177
Union,179
Vance,181
Wake,183
Warren,185
Washington,187
Watauga,189
Wayne,191
Wilkes,193
Wilson,195
Yadkin,197
Yancey,199
