County	No. of Comm.	New	Repub.	Dem.	Other	Female	African American	Native American	Other
Alamance	5 	3 	3 	2 	0 	1 	0 	0 	
Alexander	5 	3 	5 	0 	0 	1 	0 	0 	
Alleghany	5 	2 	2 	3 	0 	1 	0 	0 	
Anson	7 	0 	0 	7 	0 	2 	4 	0 	
Ashe	5 	2 	5 	0 	0 	0 	0 	0 	
Avery	5 	3 	5 	0 	0 	3 	0 	0 	
Beaufort	7 	2 	4 	3 	0 	0 	2 	0 	
Bertie	5 	3 	0 	3 	2 	0 	2 	0 	
Bladen	9 	1 	1 	8 	0 	1 	3 	0 	
Brunswick	5 	1 	5 	0 	0 	1 	0 	0 	
Buncombe	7 	1 	3 	4 	0 	3 	0 	0 	
Burke	5 	0 	5 	0 	0 	0 	0 	0 	
Cabarrus	5 	3 	5 	0 	0 	3 	0 	0 	
Caldwell	5 	1 	5 	0 	0 	0 	0 	0 	
Camden	5 	1 	4 	1 	0 	1 	0 	0 	
Carteret	7 	1 	7 	0 	0 	1 	0 	0 	
Caswell	7 	1 	0 	7 	0 	0 	3 	0 	
Catawba	5 	1 	5 	0 	0 	3 	0 	0 	
Chatham	5 	3 	1 	4 	0 	2 	1 	0 	
Cherokee	5 	2 	5 	0 	0 	0 	0 	0 	
Chowan	7 	0 	2 	5 	0 	0 	2 	0 	
Clay	5 	5 	5 	0 	0 	0 	0 	0 	
Cleveland	5 	0 	4 	1 	0 	1 	0 	0 	
Columbus	7 	0 	0 	7 	0 	0 	1 	0 	
Craven	7 	2 	4 	3 	0 	0 	2 	0 	
Cumberland	7 	2 	0 	7 	0 	1 	3 	0 	
Currituck	7 	2 	7 	0 	0 	1 	0 	0 	
Dare	7 	2 	5 	2 	0 	2 	0 	0 	
Davidson	7 	1 	7 	0 	0 	0 	0 	0 	
Davie	5 	2 	5 	0 	0 	0 	0 	0 	
Duplin	5 	1 	1 	4 	0 	2 	2 	0 	
Durham	5 	0 	0 	5 	0 	3 	3 	0 	
Edgecombe	7 	0 	0 	7 	0 	2 	4 	0 	
Forsyth	7 	2 	4 	3 	0 	1 	2 	0 	
Franklin	7 	0 	3 	4 	0 	0 	2 	0 	
Gaston	7 	0 	7 	0 	0 	0 	0 	0 	
Gates	5 	1 	0 	5 	0 	1 	1 	0 	
Graham	5 	2 	4 	1 	0 	1 	0 	0 	
Granville	7 	0 	1 	6 	0 	0 	3 	0 	
Greene	5 	2 	1 	4 	0 	1 	1 	0 	
Guilford	9 	3 	5 	4 	0 	3 	3 	0 	
Halifax	6 	1 	0 	5 	1 	2 	3 	0 	
Harnett	5 	2 	4 	1 	0 	1 	1 	0 	
Haywood	5 	0 	1 	4 	0 	0 	0 	0 	
Henderson	5 	1 	5 	0 	0 	0 	0 	0 	
Hertford	5 	0 	0 	5 	0 	0 	4 	0 	
Hoke	5 	2 	0 	5 	0 	0 	3 	1 	
Hyde	5 	0 	2 	3 	0 	0 	0 	0 	
Iredell	5 	2 	5 	0 	0 	0 	1 	0 	
Jackson	5 	2 	1 	4 	0 	1 	0 	0 	
Johnston	7 	0 	7 	0 	0 	1 	0 	0 	
Jones	5 	0 	1 	4 	0 	1 	0 	0 	
Lee	7 	2 	2 	5 	0 	1 	2 	0 	
Lenoir	7 	0 	1 	5 	1 	2 	2 	0 	
Lincoln	5 	2 	5 	0 	0 	1 	0 	0 	
Macon	5 	1 	4 	1 	0 	0 	0 	0 	
Madison	5 	2 	2 	3 	0 	0 	0 	0 	
Martin	5 	1 	1 	4 	0 	0 	2 	0 	
McDowell	5 	2 	5 	0 	0 	0 	0 	0 	
Mecklenburg	9 	2 	3 	6 	0 	3 	4 	0 	
Mitchell	5 	1 	5 	0 	0 	0 	0 	0 	
Montgomery	5 	1 	3 	2 	0 	0 	1 	0 	
Moore	5 	2 	5 	0 	0 	1 	0 	0 	
Nash	7 	0 	3 	4 	0 	3 	2 	0 	
New Hanover	5 	2 	3 	2 	0 	1 	1 	0 	
Northampton	5 	0 	0 	5 	0 	2 	4 	0 	
Onslow	5 	0 	5 	0 	0 	2 	1 	0 	
Orange	7 	1 	0 	7 	0 	4 	1 	0 	
Pamlico	7 	1 	3 	4 	0 	3 	1 	0 	
Pasquotank	7 	1 	1 	6 	0 	1 	2 	0 	
Pender	5 	1 	4 	1 	0 	0 	1 	0 	
Perquimans	6 	2 	3 	3 	0 	2 	2 	0 	
Person	5 	1 	2 	3 	0 	0 	1 	0 	
Pitt	9 	2 	4 	5 	0 	2 	3 	0 	
Polk	5 	1 	4 	1 	0 	0 	0 	0 	
Randolph	5 	1 	5 	0 	0 	0 	0 	0 	
Richmond	7 	1 	1 	6 	0 	0 	0 	0 	
Robeson	8 	1 	1 	7 	0 	0 	2 	3 	
Rockingham	5 	0 	4 	1 	0 	0 	0 	0 	
Rowan	5 	3 	5 	0 	0 	1 	0 	0 	
Rutherford	5 	3 	4 	1 	0 	0 	0 	0 	
Sampson	5 	2 	3 	2 	0 	1 	2 	0 	
Scotland	7 	1 	0 	7 	0 	2 	3 	0 	
Stanly	7 	4 	7 	0 	0 	1 	0 	0 	
Stokes	5 	0 	5 	0 	0 	1 	0 	0 	
Surry	5 	0 	5 	0 	0 	0 	0 	0 	
Swain	5 	2 	0 	5 	0 	0 	0 	1 	
Transylvania	5 	1 	5 	0 	0 	1 	0 	0 	
Tyrrell	5 	1 	1 	4 	0 	1 	2 	0 	
Union	5 	2 	5 	0 	0 	0 	0 	0 	
Vance	7 	0 	2 	5 	0 	1 	4 	0 	
Wake	7 	4 	0 	7 	0 	3 	2 	0 	
Warren	5 	2 	0 	5 	0 	2 	4 	1 	
Washington	5 	0 	0 	5 	0 	1 	2 	0 	
Watauga	5 	1 	3 	2 	0 	0 	0 	0 	
Wayne	7 	0 	5 	2 	0 	0 	2 	0 	
Wilkes	5 	1 	5 	0 	0 	0 	0 	0 	
Wilson	7 	1 	3 	4 	0 	1 	3 	0 	
Yadkin	5 	0 	5 	0 	0 	0 	0 	0 	
Yancey	5 	1 	2 	3 	0 	1 	0 	0 	
