Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
est72016,"July 1, 2016",female,Female,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",9854,7997,533,832,93,39,360
est72016,"July 1, 2016",female,Female,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",73945,54194,16736,341,1281,30,1363
est72016,"July 1, 2016",female,Female,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",83799,62191,17269,1173,1374,69,1723
est72016,"July 1, 2016",male,Male,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",10215,8303,572,847,82,34,377
est72016,"July 1, 2016",male,Male,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",65674,48953,14057,258,1088,37,1281
est72016,"July 1, 2016",male,Male,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",75889,57256,14629,1105,1170,71,1658
est72016,"July 1, 2016",totsex,Both Sexes,hisp,Hispanic,0500000US37001,37001,"Alamance County, North Carolina",20069,16300,1105,1679,175,73,737
est72016,"July 1, 2016",totsex,Both Sexes,nhisp,Not Hispanic,0500000US37001,37001,"Alamance County, North Carolina",139619,103147,30793,599,2369,67,2644
est72016,"July 1, 2016",totsex,Both Sexes,tothisp,Total,0500000US37001,37001,"Alamance County, North Carolina",159688,119447,31898,2278,2544,140,3381
est72016,"July 1, 2016",female,Female,hisp,Hispanic,0500000US37003,37003,"Alexander County, North Carolina",822,723,26,41,7,1,24
est72016,"July 1, 2016",female,Female,nhisp,Not Hispanic,0500000US37003,37003,"Alexander County, North Carolina",17592,16290,762,49,207,9,275
est72016,"July 1, 2016",female,Female,tothisp,Total,0500000US37003,37003,"Alexander County, North Carolina",18414,17013,788,90,214,10,299
est72016,"July 1, 2016",male,Male,hisp,Hispanic,0500000US37003,37003,"Alexander County, North Carolina",918,800,43,50,7,2,16
