https://en.wikipedia.org/wiki/List_of_municipalities_in_North_Carolina ,,,,,,
,,,,,,
Rank,Name,Population (2017),Population (2010),"Change,""Type",County,
1,Charlotte,859035,731424,+17.45%,City,Mecklenburg
2,Raleigh,464758,403892,+15.07%,City,Wake
3,Greensboro,290222,269666,+7.62%,City,Guilford
4,Durham,267743,228330,+17.26%,City,Durham
5,Winston-Salem,244605,229618,+6.53%,City,Forsyth
6,Fayetteville,209899,200564,+4.65%,City,Cumberland
7,Cary,165904,135234,+22.68%,Town,Wake
8,Wilmington,119045,106476,+11.80%,City,New Hanover
9,High Point,111513,104371,+6.84%,City,Guilford
10,Greenville,92156,84554,+8.99%,City,Pitt
11,Concord,92067,79066,+16.44%,City,Cabarrus
12,Asheville,91902,85712,+7.22%,City,Buncombe
13,Gastonia,76593,71741,+6.76%,City,Gaston
14,Jacksonville,72447,70145,+3.28%,City,Onslow
15,Chapel Hill,59862,57233,+4.59%,Town,Orange
16,Huntersville,56212,46773,+20.18%,Town,Mecklenburg
17,Rocky Mount,54523,57477,-5.14%,City,Edgecombe
18,Burlington,53077,49963,+6.23%,City,Alamance
19,Apex,50451,37476,+34.62%,Town,Wake
20,Wilson,49348,49167,+0.37%,City,Wilson
21,Kannapolis,48806,42625,+14.50%,City,Cabarrus
22,Wake Forest,42269,30117,+40.35%,Town,Wake
23,Hickory,40611,40010,+1.50%,City,Catawba
24,Indian Trail,38980,33518,+16.30%,Town,Union
25,Mooresville,37820,32711,+15.62%,Town,Iredell
26,Holly Springs,35233,24661,+42.87%,Town,Wake
27,Goldsboro,35197,36437,-3.40%,City,Wayne
28,Monroe,35065,32797,+6.92%,City,Union
29,Salisbury,33849,33622,+0.68%,City,Rowan
30,Matthews,32117,27198,+18.09%,Town,Mecklenburg
31,New Bern,29590,29524,+0.22%,City,Craven
32,Sanford,29313,28094,+4.34%,City,Lee
33,Cornelius,29191,24866,+17.39%,Town,Mecklenburg
34,Garner,28858,25745,+12.09%,Town,Wake
35,Fuquay-Varina,27906,17937,+55.58%,Town,Wake
36,Mint Hill,26748,22722,+17.72%,Town,Mecklenburg
37,Statesville,26657,24532,+8.66%,City,Iredell
38,Thomasville,26615,26757,-0.53%,City,Davidson
39,Morrisville,26461,18576,+42.45%,Town,Wake
40,Asheboro,25863,25012,+3.40%,City,Randolph
41,Kernersville,24386,23123,+5.46%,Town,Forsyth
42,Carrboro,21544,19582,+10.02%,Town,Orange
43,Clayton,20260,16116,+25.71%,City,Johnston
44,Lumberton,21040,21542,-2.33%,City,Robeson
45,Kinston,20509,21677,-5.39%,City,Lenoir
46,Clemmons,20420,18627,+9.63%,Village,Forsyth
47,Shelby,20018,20323,-1.50%,City,Cleveland
48,Havelock,20008,20735,-3.51%,City,Craven
49,Leland,19976,13527,+47.68%,Town,Brunswick
50,Boone,19205,17119,+12.19%,City,Watauga
