Rank,Name,Population2017,Change2010pct,Type,County
1,Charlotte,859035,17.45,City,Mecklenburg
2,Raleigh,464758,15.07,City,Wake
3,Greensboro,290222,7.62,City,Guilford
4,Durham,267743,17.26,City,Durham
5,Winston-Salem,244605,6.53,City,Forsyth
6,Fayetteville,209899,4.65,City,Cumberland
7,Cary,165904,22.68,Town,Wake
8,Wilmington,119045,11.8,City,New Hanover
9,High Point,111513,6.84,City,Guilford
10,Greenville,92156,8.99,City,Pitt
11,Concord,92067,16.44,City,Cabarrus
12,Asheville,91902,7.22,City,Buncombe
13,Gastonia,76593,6.76,City,Gaston
14,Jacksonville,72447,3.28,City,Onslow
15,Chapel Hill,59862,4.59,Town,Orange
16,Huntersville,56212,20.18,Town,Mecklenburg
17,Rocky Mount,54523,-5.14,City,Edgecombe
18,Burlington,53077,6.23,City,Alamance
19,Apex,50451,34.62,Town,Wake
20,Wilson,49348,0.37,City,Wilson
21,Kannapolis,48806,14.5,City,Cabarrus
22,Wake Forest,42269,40.35,Town,Wake
23,Hickory,40611,1.5,City,Catawba
24,Indian Trail,38980,16.3,Town,Union
25,Mooresville,37820,15.62,Town,Iredell
26,Holly Springs,35233,42.87,Town,Wake
27,Goldsboro,35197,-3.4,City,Wayne
28,Monroe,35065,6.92,City,Union
29,Salisbury,33849,0.68,City,Rowan
30,Matthews,32117,18.09,Town,Mecklenburg
31,New Bern,29590,0.22,City,Craven
32,Sanford,29313,4.34,City,Lee
33,Cornelius,29191,17.39,Town,Mecklenburg
34,Garner,28858,12.09,Town,Wake
35,Fuquay-Varina,27906,55.58,Town,Wake
36,Mint Hill,26748,17.72,Town,Mecklenburg
37,Statesville,26657,8.66,City,Iredell
38,Thomasville,26615,-0.53,City,Davidson
39,Morrisville,26461,42.45,Town,Wake
40,Asheboro,25863,3.4,City,Randolph
41,Kernersville,24386,5.46,Town,Forsyth
42,Carrboro,21544,10.02,Town,Orange
43,Clayton,20260,25.71,City,Johnston
44,Lumberton,21040,-2.33,City,Robeson
45,Kinston,20509,-5.39,City,Lenoir
46,Clemmons,20420,9.63,Village,Forsyth
47,Shelby,20018,-1.5,City,Cleveland
48,Havelock,20008,-3.51,City,Craven
49,Leland,19976,47.68,Town,Brunswick
50,Boone,19205,12.19,City,Watauga
