County	 AmInd 	AmIndPct	 Asian 	AsianPct	 Black 	BlackPct	 Other 	OtherPct	 White 	WhitePct	 Total 
"Alamance"	 2948 	1.9	 2482 	1.6	 30645 	19.3	 3653 	2.3	 119326 	75	 159054 
"Alexander"	 205 	0.5	 383 	1	 2069 	5.4	 566 	1.5	 35061 	91.6	 38284 
"Alleghany"	 73 	0.7	 85 	0.8	 155 	1.4	 125 	1.1	 10764 	96.1	 11202 
"Anson"	 225 	0.9	 382 	1.5	 12373 	48.3	 434 	1.7	 12214 	47.7	 25628 
"Ashe"	 75 	0.3	 143 	0.5	 207 	0.8	 347 	1.3	 26572 	97.2	 27344 
"Avery"	 110 	0.6	 86 	0.5	 753 	4.2	 144 	0.8	 17005 	94	 18098 
"Beaufort"	 588 	1.2	 269 	0.6	 11373 	23.9	 768 	1.6	 34612 	72.7	 47610 
"Bertie"	 93 	0.5	 164 	0.8	 12227 	61.6	 249 	1.3	 7114 	35.8	 19847 
"Bladen"	 975 	2.8	 97 	0.3	 11711 	33.8	 611 	1.8	 21273 	61.4	 34667 
"Brunswick"	 1179 	0.9	 1013 	0.8	 14382 	11.3	 2327 	1.8	 108849 	85.2	 127750 
"Buncombe"	 1566 	0.6	 3833 	1.5	 15329 	5.9	 5884 	2.3	 231794 	89.7	 258406 
"Burke"	 947 	1.1	 3978 	4.4	 5963 	6.6	 1728 	1.9	 77198 	86	 89814 
"Cabarrus"	 1550 	0.8	 5457 	2.7	 34836 	17.4	 4493 	2.2	 154327 	76.9	 200663 
"Caldwell"	 620 	0.7	 567 	0.7	 3991 	4.8	 1439 	1.7	 76176 	92	 82793 
"Camden"	 39 	0.4	 220 	2.1	 1350 	13.1	 281 	2.7	 8397 	81.6	 10287 
"Carteret"	 391 	0.6	 856 	1.2	 3978 	5.7	 1650 	2.4	 63006 	90.2	 69881 
"Caswell"	 140 	0.6	 71 	0.3	 7835 	33.1	 445 	1.9	 15198 	64.2	 23689 
"Catawba"	 1038 	0.7	 6010 	3.8	 13568 	8.7	 3178 	2	 132679 	84.8	 156473 
"Chatham"	 1207 	1.6	 1099 	1.5	 8870 	12.1	 1306 	1.8	 60804 	83	 73286 
"Cherokee"	 394 	1.4	 202 	0.7	 382 	1.3	 935 	3.3	 26678 	93.3	 28591 
"Chowan"	 62 	0.4	 108 	0.7	 4748 	32.9	 198 	1.4	 9294 	64.5	 14410 
"Clay"	 34 	0.3	 33 	0.3	 76 	0.7	 176 	1.6	 11001 	97.2	 11320 
"Cleveland"	 418 	0.4	 889 	0.9	 20326 	20.7	 1793 	1.8	 74818 	76.2	 98244 
"Columbus"	 1981 	3.5	 280 	0.5	 18440 	32.2	 1056 	1.8	 35425 	62	 57182 
"Craven"	 616 	0.6	 2869 	2.8	 23436 	22.6	 3098 	3	 73718 	71.1	 103737 
"Cumberland"	 5715 	1.7	 9740 	3	 124177 	37.6	 17277 	5.2	 172915 	52.4	 329824 
"Currituck"	 141 	0.5	 259 	1	 1540 	5.9	 601 	2.3	 23560 	90.3	 26101 
"Dare"	 253 	0.7	 334 	0.9	 951 	2.6	 781 	2.1	 34068 	93.6	 36387 
"Davidson"	 1605 	1	 2569 	1.5	 14891 	9	 2695 	1.6	 144377 	86.9	 166137 
"Davie"	 323 	0.8	 339 	0.8	 2564 	6.1	 775 	1.8	 38210 	90.5	 42211 
"Duplin"	 1082 	1.8	 672 	1.1	 14488 	24.3	 887 	1.5	 42468 	71.3	 59597 
"Durham"	 3884 	1.3	 15925 	5.3	 118228 	39.2	 8550 	2.8	 154933 	51.4	 301520 
"Edgecombe"	 395 	0.7	 177 	0.3	 30764 	57.5	 678 	1.3	 21488 	40.2	 53502 
"Forsyth"	 3914 	1.1	 9453 	2.6	 102965 	27.9	 8744 	2.4	 244068 	66.1	 369144 
"Franklin"	 715 	1.1	 469 	0.7	 16691 	25.5	 1190 	1.8	 46380 	70.9	 65445 
"Gaston"	 1533 	0.7	 3321 	1.5	 35298 	16.4	 4327 	2	 171010 	79.4	 215489 
"Gates"	 81 	0.7	 28 	0.2	 3931 	33.1	 278 	2.3	 7573 	63.7	 11891 
"Graham"	 580 	6.6	 48 	0.5	 16 	0.2	 187 	2.1	 8004 	90.6	 8835 
"Granville"	 608 	1	 459 	0.8	 19100 	32.1	 1080 	1.8	 38186 	64.3	 59433 
"Greene"	 669 	3.1	 175 	0.8	 7492 	35	 298 	1.4	 12787 	59.7	 21421 
"Guilford"	 4254 	0.8	 25351 	4.9	 180359 	34.7	 12933 	2.5	 297333 	57.2	 520230 
"Halifax"	 2240 	4.3	 485 	0.9	 27994 	53.7	 704 	1.3	 20737 	39.8	 52160 
"Harnett"	 2946 	2.3	 1715 	1.3	 26753 	20.8	 5189 	4	 92180 	71.6	 128783 
"Haywood"	 369 	0.6	 323 	0.5	 646 	1	 756 	1.2	 59677 	96.6	 61771 
"Henderson"	 846 	0.7	 1643 	1.4	 3557 	3.1	 2065 	1.8	 106274 	92.9	 114385 
"Hertford"	 263 	1.1	 196 	0.8	 14344 	59.7	 323 	1.3	 8912 	37.1	 24038 
"Hoke"	 5165 	9.9	 896 	1.7	 16698 	32	 2646 	5.1	 26809 	51.3	 52214 
"Hyde"	 47 	0.8	 14 	0.2	 1707 	30.4	 84 	1.5	 3769 	67.1	 5621 
"Iredell"	 1288 	0.7	 4061 	2.3	 20006 	11.5	 3359 	1.9	 144677 	83.4	 173391 
"Jackson"	 4101 	9.6	 488 	1.1	 738 	1.7	 927 	2.2	 36320 	85.3	 42574 
"Johnston"	 2003 	1.1	 1746 	0.9	 29227 	15.4	 3836 	2	 152648 	80.6	 189460 
"Jones"	 95 	0.9	 41 	0.4	 3030 	29.3	 274 	2.6	 6914 	66.8	 10354 
"Lee"	 929 	1.6	 736 	1.2	 11972 	20.2	 1516 	2.6	 44091 	74.4	 59244 
"Lenoir"	 472 	0.8	 462 	0.8	 23810 	41.3	 836 	1.5	 32007 	55.6	 57587 
