County,ncomm,new,nrep,ndem,nother,nfemale,nwhite,nafam,namin,nother_race,Year
Alamance,5,1,4,1,0,1,5,0,0,0,2006
Alexander,5,1,4,1,0,0,5,0,0,0,2006
Alleghany,5,3,2,3,0,1,5,0,0,0,2006
Anson,7,2,0,7,0,1,4,3,0,0,2006
Ashe,5,2,2,3,0,1,5,0,0,0,2006
Avery,5,2,5,0,0,2,5,0,0,0,2006
Beaufort,7,1,4,3,0,0,5,2,0,0,2006
Bertie,5,0,0,4,0,0,3,2,0,0,2006
Bladen,9,0,1,8,0,2,6,3,0,0,2006
Brunswick,5,0,3,2,0,1,5,0,0,0,2006
Buncombe,5,0,0,5,0,1,5,0,0,0,2006
Burke,5,0,4,1,0,1,5,0,0,0,2006
Cabarrus,5,0,5,0,0,2,5,0,0,0,2006
Caldwell,5,2,3,2,0,1,5,0,0,0,2006
Camden,5,1,3,2,0,1,5,0,0,0,2006
Carteret,7,3,6,1,0,0,7,0,0,0,2006
Caswell,7,1,0,7,0,0,5,2,0,0,2006
Catawba,5,0,5,0,0,3,5,0,0,0,2006
Chatham,5,3,0,5,0,0,4,1,0,0,2006
Cherokee,3,2,1,2,0,0,3,0,0,0,2006
Chowan,7,0,0,6,0,0,5,2,0,0,2006
Clay,3,2,1,2,0,0,3,0,0,0,2006
Cleveland,5,2,2,3,0,2,4,1,0,0,2006
Columbus,7,2,0,7,0,0,5,1,1,0,2006
Craven,7,2,3,4,0,1,4,2,1,0,2006
Cumberland,7,1,1,6,0,2,5,2,0,0,2006
Currituck,5,3,2,3,0,1,5,0,0,0,2006
Dare,7,3,3,4,0,1,6,1,0,0,2006
Davidson,7,1,6,1,0,0,7,0,0,0,2006
Davie,5,1,4,1,0,0,5,0,0,0,2006
Duplin,6,2,1,4,1,1,4,2,0,0,2006
Durham,5,0,0,5,0,2,3,2,0,0,2006
Edgecombe,7,0,0,7,0,1,3,4,0,0,2006
Forsyth,7,1,4,3,0,2,5,2,0,0,2006
Franklin,7,2,3,4,0,1,6,1,0,0,2006
Gaston,7,0,7,0,0,1,6,1,0,0,2006
Gates,5,2,0,5,0,0,5,0,0,0,2006
Graham,5,5,4,1,0,0,5,0,0,0,2006
Granville,7,0,0,7,0,0,4,3,0,0,2006
Greene,5,2,0,5,0,0,4,1,0,0,2006
Guilford,11,0,3,8,0,3,8,3,0,0,2006
