"election_dt","county_name","contest_name","name_on_ballot","first_name","middle_name","last_name","name_suffix_lbl","nick_name","candidacy_dt","party_contest","party_candidate","is_unexpired","has_primary","is_partisan","vote_for","term"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON MAYOR","Ian Baltutis","IAN","THOMAS","BALTUTIS","","","07/07/2017","","","FALSE","TRUE","FALSE","1","2"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON MAYOR","Craig W. Deaton","CRAIG","WEBB","DEATON","II","","07/19/2017","","","FALSE","TRUE","FALSE","1","2"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON MAYOR","Celo Faucette","CELO","IRINGTON","FAUCETTE","","","07/10/2017","","","FALSE","TRUE","FALSE","1","2"
"11/07/2017","ALAMANCE","VILLAGE OF ALAMANCE MAYOR","Don Tichy","DONALD","BRUCE","TICHY","","DON","07/11/2017","","","FALSE","FALSE","FALSE","1","2"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","Jim Butler","JAMES","BRYAN","BUTLER","","JIM","07/21/2017","","","FALSE","TRUE","FALSE","2","4"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","Yvette Gaboury","LUZ","YVETTE","GABOURY","","","07/07/2017","","","FALSE","TRUE","FALSE","2","4"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","Taylor Jones","TAYLOR","ELWOOD","JONES","","","07/11/2017","","","FALSE","TRUE","FALSE","2","4"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","Patrick Mills","PATRICK","STEPHEN","MILLS","","","07/07/2017","","","FALSE","TRUE","FALSE","2","4"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","Harold Owen","HAROLD","THOMAS","OWEN","","","07/20/2017","","","FALSE","TRUE","FALSE","2","4"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","John Thorpe","JEAN-MYCHAL","","THORPE","","JOHN","07/20/2017","","","FALSE","TRUE","FALSE","2","4"
"10/10/2017","ALAMANCE","CITY OF BURLINGTON COUNCIL","Joe Tickle","JOE","ALFRED","TICKLE","","","07/14/2017","","","FALSE","TRUE","FALSE","2","4"
"11/07/2017","ALAMANCE","VILLAGE OF ALAMANCE ALDERMAN","Gayle  Andrews","GAYLE","SMITH","ANDREWS","","","07/18/2017","","","FALSE","FALSE","FALSE","3","4"
